#Distance(Ang) Energy(Hartrees) 
1.2500 -515.8997567062
1.3000 -515.9690950620
1.3500 -516.0206903526
1.4000 -516.0581155013
1.4500 -516.0843435929
1.5000 -516.1018289535
1.5500 -516.1124571967
1.6000 -516.1176831528
1.6500 -516.1186972345
1.7000 -516.1164856489
1.7500 -516.1118474083
1.8000 -516.1053910312
1.8500 -516.0975623475
1.9000 -516.0887210380
1.9500 -516.0791832918
2.0000 -516.0692201846
2.0500 -516.0590440892
2.1000 -516.0487944944
2.1500 -516.0385652636
2.2000 -516.0284396212
2.2500 -516.0184968776
2.3000 -516.0088039418
2.3500 -515.9994107008
2.4000 -515.9903497768
2.4500 -515.9816348910
2.5000 -515.9732702568
