#Distance(Ang) Energy(Hartrees)  
1.2500 -515.7922236666
1.3000 -515.8636484615
1.3500 -515.9178400681
1.4000 -515.9583352386
1.4500 -515.9880721867
1.5000 -516.0094600354
1.5500 -516.0243318684
1.6000 -516.0340874865
1.6500 -516.0398540152
1.7000 -516.0425536685
1.7500 -516.0443867375
1.8000 -516.0432981097
1.8500 -516.0408709007
1.9000 -516.0374138828
1.9500 -516.0332187439
2.0000 -516.0285455310
2.0500 -516.0235755494
2.1000 -516.0184136276
2.1500 -516.0131338329
2.2000 -516.0078036158
2.2500 -516.0024893400
2.3000 -515.9972466671
2.3500 -515.9921118354
2.4000 -515.9871008097
2.4500 -515.9822204482
2.5000 -515.9774767988
